;;;;;;;;;;;;;; 80.007 ; 229.027.746,30 ; 1.633.627,99 ; 227.394.118,31 ; 41.142.264,91 ; 5.760.400,78 ; -   ; -   ; -   ; 221.651.156,36 ; 74.093.414,10 ; 1.222.563,60 ; 5.631.099,16 ; 6.853.662,76 
chave_unica;Período;Ano;Mês;Trimestre;sped_origem;sentido;Registro;CFOP;CST;Alíq. Pis do SPED;Alíq. Cofins do SPED;Nat. BC. Créd.;status_conferencia;qtd_registros; total_item ; total_desconto ; total_liquido ; total_bc_icms ; total_icms ; total_icms_st ; total_ipi ; total_iss ; bc_pis_cof_calculada ; bc_pis_cof_escriturada ; total_pis ; total_cof ; total_pis_cofins 
2021|08|CONTRIBUIÇÕES|Entrada|C170|2557|70|0.0000|0.0000|N/A|Não conferido;01/08/2021;2021;8;3;CONTRIBUIÇÕES;Entrada;C170;2557;70;0,0000;0,0000;N/A;Não conferido;7; 230.300,00 ; -   ; 230.300,00 ; -   ; -   ; -   ; -   ; -   ; 230.300,00 ; -   ; -   ; -   ; -   
2021|08|CONTRIBUIÇÕES|Entrada|C170|1126|51|1.6500|7.6000|02|Não conferido;01/08/2021;2021;8;3;CONTRIBUIÇÕES;Entrada;C170;1126;51;0,0165;0,0760;2;Não conferido;1; 2.078,00 ; 107,90 ; 1.970,10 ; -   ; -   ; -   ; -   ; -   ; 1.970,10 ; 1.970,10 ; 32,51 ; 149,73 ; 182,24 
2021|08|CONTRIBUIÇÕES|Entrada|C170|2126|51|1.6500|7.6000|02|Não conferido;01/08/2021;2021;8;3;CONTRIBUIÇÕES;Entrada;C170;2126;51;0,0165;0,0760;2;Não conferido;1; 248.241,21 ; -   ; 248.241,21 ; 238.603,50 ; 28.632,42 ; -   ; -   ; -   ; 219.608,79 ; 248.241,21 ; 4.095,98 ; 18.866,33 ; 22.962,31 
2021|08|CONTRIBUIÇÕES|Entrada|F130|F130|51|1.6500|7.6000|10|Não conferido;01/08/2021;2021;8;3;CONTRIBUIÇÕES;Entrada;F130;F130;51;0,0165;0,0760;10;Não conferido;2; 300.000,00 ; -   ; 300.000,00 ; -   ; -   ; -   ; -   ; -   ; 300.000,00 ; 300.000,00 ; 4.950,00 ; 22.800,00 ; 27.750,00 
2021|09|CONTRIBUIÇÕES|Entrada|C170|2557|70|0.0000|0.0000|N/A|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;2557;70;0,0000;0,0000;N/A;Não conferido;5; 108.000,00 ; -   ; 108.000,00 ; -   ; -   ; -   ; -   ; -   ; 108.000,00 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|1407|70|0.0000|0.0000|02|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;1407;70;0,0000;0,0000;2;Não conferido;52; 17.789,18 ; 762,13 ; 17.027,05 ; -   ; -   ; -   ; -   ; -   ; 17.027,05 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|2407|70|0.0000|0.0000|02|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;2407;70;0,0000;0,0000;2;Não conferido;2; 38.157,96 ; -   ; 38.157,96 ; 34.234,67 ; 2.396,43 ; -   ; -   ; -   ; 35.761,53 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|2556|70|0.0000|0.0000|02|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;2556;70;0,0000;0,0000;2;Não conferido;169; 268.977,39 ; 269,44 ; 268.707,95 ; 231.414,67 ; 27.703,40 ; -   ; -   ; -   ; 241.004,55 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|2902|98|0.0000|0.0000|N/A|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;2902;98;0,0000;0,0000;N/A;Não conferido;53; 100,00 ; -   ; 100,00 ; -   ; -   ; -   ; -   ; -   ; 100,00 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|1916|70|0.0000|0.0000|N/A|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;1916;70;0,0000;0,0000;N/A;Não conferido;94; 94,00 ; -   ; 94,00 ; -   ; -   ; -   ; -   ; -   ; 94,00 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|2908|70|0.0000|0.0000|N/A|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;2908;70;0,0000;0,0000;N/A;Não conferido;1; 800.000,00 ; -   ; 800.000,00 ; -   ; -   ; -   ; -   ; -   ; 800.000,00 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|2407|51|1.6500|7.6000|02|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;2407;51;0,0165;0,0760;2;Não conferido;76; 461.259,34 ; 291,92 ; 460.967,42 ; 411.442,91 ; 41.075,52 ; -   ; -   ; -   ; 419.891,90 ; 460.967,42 ; 7.606,01 ; 35.033,59 ; 42.639,60 
2021|09|CONTRIBUIÇÕES|Entrada|C170|2556|51|1.6500|7.6000|02|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;2556;51;0,0165;0,0760;2;Não conferido;122; 70.007,17 ; 2.279,23 ; 67.727,94 ; 24.741,64 ; 2.839,58 ; -   ; -   ; -   ; 64.888,36 ; 67.727,94 ; 1.117,48 ; 5.147,31 ; 6.264,79 
2021|09|CONTRIBUIÇÕES|Entrada|C170|2653|51|1.6500|7.6000|02|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;2653;51;0,0165;0,0760;2;Não conferido;138; 417.523,30 ; 19.987,26 ; 397.536,04 ; 353.009,57 ; 42.361,15 ; -   ; -   ; -   ; 355.174,89 ; 397.536,04 ; 6.559,32 ; 30.212,67 ; 36.771,99 
2021|09|CONTRIBUIÇÕES|Entrada|C170|2933|51|1.6500|7.6000|03|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;2933;51;0,0165;0,0760;3;Não conferido;4; 1.660,00 ; 9,47 ; 1.650,53 ; -   ; -   ; -   ; -   ; -   ; 1.650,53 ; 1.650,53 ; 27,24 ; 125,44 ; 152,68 
2021|09|CONTRIBUIÇÕES|Entrada|C170|1920|70|0.0000|0.0000|N/A|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;1920;70;0,0000;0,0000;N/A;Não conferido;3; 1.736,73 ; -   ; 1.736,73 ; -   ; -   ; -   ; -   ; -   ; 1.736,73 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|1653|51|1.6500|7.6000|02|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;1653;51;0,0165;0,0760;2;Não conferido;109; 503.543,80 ; 11.935,28 ; 491.608,52 ; 13.877,48 ; 1.665,29 ; -   ; -   ; -   ; 489.943,23 ; 491.608,52 ; 8.111,63 ; 37.362,20 ; 45.473,83 
2021|09|CONTRIBUIÇÕES|Entrada|C170|1551|70|0.0000|0.0000|10|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;1551;70;0,0000;0,0000;10;Não conferido;6; 3.624.000,00 ; -   ; 3.624.000,00 ; 75.500,08 ; 10.041,50 ; -   ; -   ; -   ; 3.613.958,50 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|2653|70|0.0000|0.0000|02|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;2653;70;0,0000;0,0000;2;Não conferido;6; 11.598,57 ; -   ; 11.598,57 ; -   ; -   ; -   ; -   ; -   ; 11.598,57 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|1554|70|0.0000|0.0000|N/A|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;1554;70;0,0000;0,0000;N/A;Não conferido;1; 135.000,00 ; -   ; 135.000,00 ; -   ; -   ; -   ; -   ; -   ; 135.000,00 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|2916|70|0.0000|0.0000|N/A|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;2916;70;0,0000;0,0000;N/A;Não conferido;3; 16.300,02 ; 0,02 ; 16.300,00 ; -   ; -   ; -   ; -   ; -   ; 16.300,00 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|1407|51|1.6500|7.6000|02|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;1407;51;0,0165;0,0760;2;Não conferido;1286; 846.392,59 ; 42.333,74 ; 804.058,85 ; -   ; -   ; -   ; -   ; -   ; 804.058,85 ; 804.058,85 ; 13.267,50 ; 61.108,40 ; 74.375,90 
2021|09|CONTRIBUIÇÕES|Entrada|C170|2552|70|0.0000|0.0000|N/A|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;2552;70;0,0000;0,0000;N/A;Não conferido;2; 734.500,00 ; -   ; 734.500,00 ; -   ; -   ; -   ; -   ; -   ; 734.500,00 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|1557|70|0.0000|0.0000|N/A|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;1557;70;0,0000;0,0000;N/A;Não conferido;2; 33.600,00 ; -   ; 33.600,00 ; -   ; -   ; -   ; -   ; -   ; 33.600,00 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|1556|70|0.0000|0.0000|02|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;1556;70;0,0000;0,0000;2;Não conferido;1234; 761.165,32 ; 6.312,63 ; 754.852,69 ; 328.088,60 ; 58.400,47 ; -   ; -   ; -   ; 696.452,22 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|1556|51|1.6500|7.6000|02|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;1556;51;0,0165;0,0760;2;Não conferido;464; 834.445,39 ; 2.314,14 ; 832.131,25 ; 145.036,61 ; 25.854,43 ; -   ; -   ; -   ; 806.276,82 ; 832.131,25 ; 13.730,33 ; 63.242,06 ; 76.972,39 
2021|09|CONTRIBUIÇÕES|Entrada|C170|1908|70|0.0000|0.0000|N/A|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;1908;70;0,0000;0,0000;N/A;Não conferido;7; 435.955,72 ; -   ; 435.955,72 ; -   ; -   ; -   ; -   ; -   ; 435.955,72 ; -   ; -   ; -   ; -   
2021|09|CONTRIBUIÇÕES|Entrada|C170|1653|70|0.0000|0.0000|02|Não conferido;01/09/2021;2021;9;3;CONTRIBUIÇÕES;Entrada;C170;1653;70;0,0000;0,0000;2;Não conferido;13; 2.812,45 ; -   ; 2.812,45 ; -   ; -   ; -   ; -   ; -   ; 2.812,45 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|1554|70|0.0000|0.0000|N/A|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;1554;70;0,0000;0,0000;N/A;Não conferido;1; 135.000,00 ; -   ; 135.000,00 ; -   ; -   ; -   ; -   ; -   ; 135.000,00 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|1407|70|0.0000|0.0000|02|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;1407;70;0,0000;0,0000;2;Não conferido;36; 6.051,00 ; 20,00 ; 6.031,00 ; -   ; -   ; -   ; -   ; -   ; 6.031,00 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|2949|70|0.0000|0.0000|N/A|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;2949;70;0,0000;0,0000;N/A;Não conferido;3; 534,13 ; -   ; 534,13 ; 244,90 ; 29,38 ; -   ; -   ; -   ; 504,75 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|2933|51|1.6500|7.6000|03|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;2933;51;0,0165;0,0760;3;Não conferido;2; 2.210,00 ; -   ; 2.210,00 ; -   ; -   ; -   ; -   ; -   ; 2.210,00 ; 2.210,00 ; 36,47 ; 167,96 ; 204,43 
2021|10|CONTRIBUIÇÕES|Entrada|C170|2407|70|0.0000|0.0000|02|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;2407;70;0,0000;0,0000;2;Não conferido;18; 71.396,03 ; 551,87 ; 70.844,16 ; 56.056,00 ; 3.782,79 ; -   ; -   ; -   ; 67.061,37 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|2653|51|1.6500|7.6000|02|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;2653;51;0,0165;0,0760;2;Não conferido;83; 389.548,71 ; 17.089,49 ; 372.459,22 ; 281.906,86 ; 33.828,87 ; -   ; -   ; -   ; 338.630,35 ; 372.459,22 ; 6.145,60 ; 28.306,89 ; 34.452,49 
2021|10|CONTRIBUIÇÕES|Entrada|C170|2908|70|0.0000|0.0000|N/A|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;2908;70;0,0000;0,0000;N/A;Não conferido;1; 1.950,00 ; -   ; 1.950,00 ; -   ; -   ; -   ; -   ; -   ; 1.950,00 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|1556|70|0.0000|0.0000|02|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;1556;70;0,0000;0,0000;2;Não conferido;498; 264.789,40 ; 5.083,10 ; 259.706,30 ; 28.032,95 ; 5.045,94 ; -   ; -   ; -   ; 254.660,36 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|2916|70|0.0000|0.0000|N/A|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;2916;70;0,0000;0,0000;N/A;Não conferido;25; 2.273,00 ; -   ; 2.273,00 ; -   ; -   ; -   ; -   ; -   ; 2.273,00 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|2557|70|0.0000|0.0000|N/A|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;2557;70;0,0000;0,0000;N/A;Não conferido;5; 410.000,00 ; -   ; 410.000,00 ; -   ; -   ; -   ; -   ; -   ; 410.000,00 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|1933|70|0.0000|0.0000|03|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;1933;70;0,0000;0,0000;3;Não conferido;1; 120,00 ; -   ; 120,00 ; -   ; -   ; -   ; -   ; -   ; 120,00 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|1653|51|1.6500|7.6000|02|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;1653;51;0,0165;0,0760;2;Não conferido;25; 236.640,76 ; 123,02 ; 236.517,74 ; 3.018,81 ; 362,26 ; -   ; -   ; -   ; 236.155,48 ; 236.517,74 ; 3.902,52 ; 17.975,33 ; 21.877,85 
2021|10|CONTRIBUIÇÕES|Entrada|C170|2915|70|0.0000|0.0000|N/A|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;2915;70;0,0000;0,0000;N/A;Não conferido;1; 1.950,00 ; -   ; 1.950,00 ; -   ; -   ; -   ; -   ; -   ; 1.950,00 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|2653|70|0.0000|0.0000|02|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;2653;70;0,0000;0,0000;2;Não conferido;11; 33.337,17 ; -   ; 33.337,17 ; -   ; -   ; -   ; -   ; -   ; 33.337,17 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|2556|70|0.0000|0.0000|02|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;2556;70;0,0000;0,0000;2;Não conferido;97; 81.517,52 ; 148,79 ; 81.368,73 ; 22.138,08 ; 2.701,02 ; -   ; -   ; -   ; 78.667,71 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|1407|51|1.6500|7.6000|02|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;1407;51;0,0165;0,0760;2;Não conferido;809; 428.791,08 ; 16.507,60 ; 412.283,48 ; 697,00 ; 125,46 ; -   ; -   ; -   ; 412.158,02 ; 412.283,48 ; 6.803,08 ; 31.333,50 ; 38.136,58 
2021|10|CONTRIBUIÇÕES|Entrada|C170|2552|70|0.0000|0.0000|N/A|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;2552;70;0,0000;0,0000;N/A;Não conferido;13; 2.864.000,00 ; -   ; 2.864.000,00 ; -   ; -   ; -   ; -   ; -   ; 2.864.000,00 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|1949|70|0.0000|0.0000|N/A|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;1949;70;0,0000;0,0000;N/A;Não conferido;1; 8,84 ; -   ; 8,84 ; -   ; -   ; -   ; -   ; -   ; 8,84 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|2556|51|1.6500|7.6000|02|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;2556;51;0,0165;0,0760;2;Não conferido;83; 123.629,44 ; 452,88 ; 123.176,56 ; 57.167,03 ; 4.114,19 ; -   ; -   ; -   ; 119.062,37 ; 123.176,56 ; 2.032,45 ; 9.361,42 ; 11.393,87 
2021|10|CONTRIBUIÇÕES|Entrada|C170|2407|51|1.6500|7.6000|02|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;2407;51;0,0165;0,0760;2;Não conferido;33; 602.183,84 ; -   ; 602.183,84 ; 568.196,84 ; 67.872,05 ; -   ; -   ; -   ; 534.311,79 ; 602.183,84 ; 9.936,06 ; 45.765,98 ; 55.702,04 
2021|10|CONTRIBUIÇÕES|Entrada|C170|1653|70|0.0000|0.0000|02|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;1653;70;0,0000;0,0000;2;Não conferido;29; 22.958,46 ; -   ; 22.958,46 ; 16.433,10 ; 2.957,96 ; -   ; -   ; -   ; 20.000,50 ; -   ; -   ; -   ; -   
2021|10|CONTRIBUIÇÕES|Entrada|C170|1556|51|1.6500|7.6000|02|Não conferido;01/10/2021;2021;10;4;CONTRIBUIÇÕES;Entrada;C170;1556;51;0,0165;0,0760;2;Não conferido;308; 214.251,40 ; 3.454,32 ; 210.797,08 ; 17.676,60 ; 3.181,80 ; -   ; -   ; -   ; 207.615,28 ; 210.797,08 ; 3.478,32 ; 16.020,62 ; 19.498,94 
2021|11|CONTRIBUIÇÕES|Entrada|C170|1653|70|0.0000|0.0000|02|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;1653;70;0,0000;0,0000;2;Não conferido;18; 4.253,72 ; -   ; 4.253,72 ; -   ; -   ; -   ; -   ; -   ; 4.253,72 ; -   ; -   ; -   ; -   
2021|11|CONTRIBUIÇÕES|Entrada|C170|1916|70|0.0000|0.0000|N/A|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;1916;70;0,0000;0,0000;N/A;Não conferido;19; 19,00 ; -   ; 19,00 ; -   ; -   ; -   ; -   ; -   ; 19,00 ; -   ; -   ; -   ; -   
2021|11|CONTRIBUIÇÕES|Entrada|C170|2407|51|1.6500|7.6000|02|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;2407;51;0,0165;0,0760;2;Não conferido;20; 209.723,72 ; -   ; 209.723,72 ; 197.955,33 ; 23.754,64 ; -   ; -   ; -   ; 185.969,08 ; 209.723,72 ; 3.460,44 ; 15.939,03 ; 19.399,47 
2021|11|CONTRIBUIÇÕES|Entrada|C170|2653|70|0.0000|0.0000|02|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;2653;70;0,0000;0,0000;2;Não conferido;2; 1.992,42 ; -   ; 1.992,42 ; -   ; -   ; -   ; -   ; -   ; 1.992,42 ; -   ; -   ; -   ; -   
2021|11|CONTRIBUIÇÕES|Entrada|C170|2557|70|0.0000|0.0000|N/A|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;2557;70;0,0000;0,0000;N/A;Não conferido;3; 120.010,00 ; -   ; 120.010,00 ; -   ; -   ; -   ; -   ; -   ; 120.010,00 ; -   ; -   ; -   ; -   
2021|11|CONTRIBUIÇÕES|Entrada|C170|1411|51|1.6500|7.6000|12|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;1411;51;0,0165;0,0760;12;Não conferido;1; 76,00 ; -   ; 76,00 ; -   ; -   ; -   ; -   ; -   ; 76,00 ; 76,00 ; 1,25 ; 5,78 ; 7,03 
2021|11|CONTRIBUIÇÕES|Entrada|C170|1653|51|1.6500|7.6000|02|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;1653;51;0,0165;0,0760;2;Não conferido;41; 396.930,54 ; 0,01 ; 396.930,53 ; 11.192,02 ; 1.343,04 ; -   ; -   ; -   ; 395.587,49 ; 396.930,53 ; 6.549,34 ; 30.166,72 ; 36.716,06 
2021|11|CONTRIBUIÇÕES|Entrada|C170|1556|51|1.6500|7.6000|02|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;1556;51;0,0165;0,0760;2;Não conferido;415; 238.862,86 ; 467,08 ; 238.395,78 ; 36.575,67 ; 6.406,36 ; -   ; -   ; -   ; 231.989,42 ; 238.395,78 ; 3.933,72 ; 18.118,14 ; 22.051,86 
2021|11|CONTRIBUIÇÕES|Entrada|C170|1902|98|0.0000|0.0000|N/A|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;1902;98;0,0000;0,0000;N/A;Não conferido;1; 1,00 ; -   ; 1,00 ; -   ; -   ; -   ; -   ; -   ; 1,00 ; -   ; -   ; -   ; -   
2021|11|CONTRIBUIÇÕES|Entrada|C170|2407|70|0.0000|0.0000|02|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;2407;70;0,0000;0,0000;2;Não conferido;6; 87.847,13 ; -   ; 87.847,13 ; 79.892,52 ; 5.592,48 ; -   ; -   ; -   ; 82.254,65 ; -   ; -   ; -   ; -   
2021|11|CONTRIBUIÇÕES|Entrada|C170|2933|51|1.6500|7.6000|03|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;2933;51;0,0165;0,0760;3;Não conferido;9; 12.046,30 ; -   ; 12.046,30 ; -   ; -   ; -   ; -   ; -   ; 12.046,30 ; 12.046,30 ; 198,78 ; 915,52 ; 1.114,30 
2021|11|CONTRIBUIÇÕES|Entrada|C170|2556|51|1.6500|7.6000|02|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;2556;51;0,0165;0,0760;2;Não conferido;106; 79.973,49 ; -   ; 79.973,49 ; 44.140,27 ; 3.724,72 ; -   ; -   ; -   ; 76.248,77 ; 79.973,49 ; 1.319,60 ; 6.077,97 ; 7.397,57 
2021|11|CONTRIBUIÇÕES|Entrada|C170|2556|70|0.0000|0.0000|02|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;2556;70;0,0000;0,0000;2;Não conferido;56; 76.234,52 ; 435,08 ; 75.799,44 ; 14.445,18 ; 1.217,87 ; -   ; -   ; -   ; 74.581,57 ; -   ; -   ; -   ; -   
2021|11|CONTRIBUIÇÕES|Entrada|C170|1554|70|0.0000|0.0000|N/A|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;1554;70;0,0000;0,0000;N/A;Não conferido;11; 2.594.000,00 ; -   ; 2.594.000,00 ; -   ; -   ; -   ; -   ; -   ; 2.594.000,00 ; -   ; -   ; -   ; -   
2021|11|CONTRIBUIÇÕES|Entrada|C170|1556|70|0.0000|0.0000|02|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;1556;70;0,0000;0,0000;2;Não conferido;517; 4.144.226,64 ; 3.338,69 ; 4.140.887,95 ; 3.912.207,72 ; 526.032,33 ; -   ; -   ; -   ; 3.614.855,62 ; -   ; -   ; -   ; -   
2021|11|CONTRIBUIÇÕES|Entrada|C170|2916|70|0.0000|0.0000|N/A|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;2916;70;0,0000;0,0000;N/A;Não conferido;119; 418,00 ; -   ; 418,00 ; -   ; -   ; -   ; -   ; -   ; 418,00 ; -   ; -   ; -   ; -   
2021|11|CONTRIBUIÇÕES|Entrada|C170|1126|51|1.6500|7.6000|02|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;1126;51;0,0165;0,0760;2;Não conferido;1; 5.874,00 ; 124,00 ; 5.750,00 ; -   ; -   ; -   ; -   ; -   ; 5.750,00 ; 5.750,00 ; 94,88 ; 437,00 ; 531,88 
2021|11|CONTRIBUIÇÕES|Entrada|C170|1407|70|0.0000|0.0000|02|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;1407;70;0,0000;0,0000;2;Não conferido;29; 8.592,84 ; -   ; 8.592,84 ; -   ; -   ; -   ; -   ; -   ; 8.592,84 ; -   ; -   ; -   ; -   
2021|11|CONTRIBUIÇÕES|Entrada|C170|1407|51|1.6500|7.6000|02|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;1407;51;0,0165;0,0760;2;Não conferido;838; 559.899,07 ; 31.086,93 ; 528.812,14 ; 2.090,99 ; 376,38 ; -   ; -   ; -   ; 528.435,76 ; 528.812,14 ; 8.725,91 ; 40.189,64 ; 48.915,55 
2021|11|CONTRIBUIÇÕES|Entrada|C170|1551|70|0.0000|0.0000|10|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;1551;70;0,0000;0,0000;10;Não conferido;10; 6.550.000,00 ; -   ; 6.550.000,00 ; 136.458,30 ; 18.149,00 ; -   ; -   ; -   ; 6.531.851,00 ; -   ; -   ; -   ; -   
2021|11|CONTRIBUIÇÕES|Entrada|C170|2653|51|1.6500|7.6000|02|Não conferido;01/11/2021;2021;11;4;CONTRIBUIÇÕES;Entrada;C170;2653;51;0,0165;0,0760;2;Não conferido;73; 292.141,39 ; 3.790,01 ; 288.351,38 ; 151.793,70 ; 18.215,28 ; -   ; -   ; -   ; 270.136,10 ; 288.351,38 ; 4.757,82 ; 21.914,67 ; 26.672,49 
