;;;;;;;;;;;;;; 80.007 ; 229.027.746,30 ; 1.633.627,99 ; 227.394.118,31 ; 41.142.264,91 ; 5.760.400,78 ; -   ; -   ; -   ; 221.651.156,36 ; 74.093.414,10 ; 1.222.563,60 ; 5.631.099,16 ; 6.853.662,76 
chave_unica;Período;Ano;Mês;Trimestre;sped_origem;sentido;Registro;CFOP;CST;Alíq. Pis do SPED;Alíq. Cofins do SPED;Nat. BC. Créd.;status_conferencia;qtd_registros; total_item ; total_desconto ; total_liquido ; total_bc_icms ; total_icms ; total_icms_st ; total_ipi ; total_iss ; bc_pis_cof_calculada ; bc_pis_cof_escriturada ; total_pis ; total_cof ; total_pis_cofins 
2021|01|CONTRIBUIÇÕES|Entrada|C170|2556|51|1.6500|7.6000|02|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;C170;2556;51;0,0165;0,0760;2;Não conferido;46; 54.962,17 ; -   ; 54.962,17 ; 22.977,20 ; 1.608,41 ; -   ; -   ; -   ; 53.353,76 ; 54.962,17 ; 906,88 ; 4.177,11 ; 5.083,99 
2021|01|CONTRIBUIÇÕES|Entrada|C170|2552|70|0.0000|0.0000|N/A|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;C170;2552;70;0,0000;0,0000;N/A;Não conferido;3; 405.000,00 ; -   ; 405.000,00 ; -   ; -   ; -   ; -   ; -   ; 405.000,00 ; -   ; -   ; -   ; -   
2021|01|CONTRIBUIÇÕES|Entrada|C170|2920|98|0.0000|0.0000|N/A|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;C170;2920;98;0,0000;0,0000;N/A;Não conferido;1; 468,11 ; -   ; 468,11 ; -   ; -   ; -   ; -   ; -   ; 468,11 ; -   ; -   ; -   ; -   
2021|01|CONTRIBUIÇÕES|Entrada|C170|1556|51|1.6500|7.6000|02|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;C170;1556;51;0,0165;0,0760;2;Não conferido;355; 308.859,67 ; 1.100,43 ; 307.759,24 ; 94.129,40 ; 16.943,25 ; -   ; -   ; -   ; 290.815,99 ; 307.759,24 ; 5.078,11 ; 23.389,81 ; 28.467,92 
2021|01|CONTRIBUIÇÕES|Entrada|F130|F130|51|1.6500|7.6000|10|Não conferido;01/01/2021;2021;1;1;CONTRIBUIÇÕES;Entrada;F130;F130;51;0,0165;0,0760;10;Não conferido;1; 191.405,00 ; -   ; 191.405,00 ; -   ; -   ; -   ; -   ; -   ; 191.405,00 ; 191.405,00 ; 3.158,18 ; 14.546,78 ; 17.704,96 
2021|02|CONTRIBUIÇÕES|Entrada|C170|2653|70|0.0000|0.0000|02|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2653;70;0,0000;0,0000;2;Não conferido;3; 3.041,54 ; -   ; 3.041,54 ; -   ; -   ; -   ; -   ; -   ; 3.041,54 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|2407|70|0.0000|0.0000|02|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2407;70;0,0000;0,0000;2;Não conferido;2; 66.157,63 ; -   ; 66.157,63 ; -   ; -   ; -   ; -   ; -   ; 66.157,63 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|2916|70|0.0000|0.0000|N/A|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;2916;70;0,0000;0,0000;N/A;Não conferido;4; 18.000,00 ; -   ; 18.000,00 ; -   ; -   ; -   ; -   ; -   ; 18.000,00 ; -   ; -   ; -   ; -   
2021|02|CONTRIBUIÇÕES|Entrada|C170|1407|51|1.6500|7.6000|02|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;1407;51;0,0165;0,0760;2;Não conferido;549; 335.351,32 ; 10.651,37 ; 324.699,95 ; 301,06 ; 54,19 ; -   ; -   ; -   ; 324.645,76 ; 324.699,95 ; 5.357,74 ; 24.677,26 ; 30.035,00 
2021|02|CONTRIBUIÇÕES|Entrada|C170|1902|98|0.0000|0.0000|N/A|Não conferido;01/02/2021;2021;2;1;CONTRIBUIÇÕES;Entrada;C170;1902;98;0,0000;0,0000;N/A;Não conferido;200; 361,00 ; -   ; 361,00 ; -   ; -   ; -   ; -   ; -   ; 361,00 ; -   ; -   ; -   ; -   
