|0000|006|1||88747CFC2ECF0071CEE526DCBAF01DD55163D96E4|01082021|31082021|FM MODEL TRANSPORTES LTDA|05367368000106|SP|3523909||00|1|
|0001|0|
|0110|1|2|1||
|0111|0|0|0|0|0|
|0150|6570WQK95|PARISE E VIOTTO COM E DISTR DE PECAS AUTOM. LTDA|1058|33002620000208||260505269|4202909||ROD IVO SILVEIRA SC 108|2400|BARRACAO|BATEAS|
|0150|5WN10L6KT|CAROLINA BOHN FIGUEIREDO CONFECCOES EPP|1058|03365453000100||209258457116|3506003||RUA CHRISTIANO PAGANI|9-14||JARDIM CONTORNO|
|0150|5WN10LGZV|APPLAUSO NISSAN VEICULOS LTDA|1058|18255634000231||387302726118|3523909||RUA SANTA RITA|7||CENTRO|
|0150|5XE0U9KC0|A SANCHES TELECOMUNICACOES - EPP|1058|17601239000110||143041136119|3550308||RUA SANTA IFIGENIA|611|LOJA 3|SANTA EFIGENIA|
|0150|60T0XTNPD|VIA TRUCKS SAO PAULO COMERCIO DE CAMINHOES LTDA|1058|18703805000329||799334853111|3548708||RUA PEDRO ZOLCSAK|50||FERRAZOPOLIS|
|0150|5W80T9BRM|HTN TRATOR PECAS EIRELI|1058|31480286000183||119960000119|3550308||RUA ALPHEU LUIZ GASPARINO|99||VILA NOVA GALVÃO|
|0150|5XG0YRAHZ|HOWMET RODAS DE ALUMINIO LTDA.|1058|34271569000103||119338407116|3550308||V ANHANGUERA|SN|KM 17 COMPLEXO ANHANGUERA GALPAO1 MOD III SL 3|PARQUE SAO DOMINGOS|
|0150|6570WBXMP|NOVO DERIVADO DE PETROLEO LTDA|1058|10829312000409||194773922|2203909||RODOVIA BR343|0||CAJUEIRO II|
|0150|6400YEAIT|WC METAIS BRASIL LTDA.|1058|13099143000144||600058574112|3545209||AVENIDA MALASIA|1517||OLARIA|
|0150|6570WMFNR|EDISON BARACIOLI - ME|1058|11037928000167||718075329110|3557105||ROD EUCLIDES DA CUNHA KM 507|S/N||ZONA RURAL|
